ortografia,freq_orto,nb_letras
",",2132958,1
.,1603176,1
de,1294610,2
o,935286,1
a,785941,1
e,667537,1
do,523236,2
da,430289,2
em,404703,2
que,323610,3
para,323415,4
que,305121,3
«,277362,1
no,276582,2
com,262746,3
os,259722,2
),248508,1
»,247709,1
(,241090,1
é,239218,1
não,231931,3
na,226898,2
a,223731,1
um,212329,2
uma,179315,3
por,162664,3
as,161130,2
dos,146479,3
ao,127720,2
se,119890,2
:,113638,1
como,111538,4
mais,104913,4
--,98606,2
foi,98452,3
à,95447,1
das,93624,3
%,81988,1
mas,80202,3
ou,71103,2
ser,69756,3
sua,68289,3
ele,67998,3
pelo,67513,4
seu,60950,3
pela,60632,4
¬,55447,1
entre,52099,5
tem,51679,3
já,51299,2
são,50920,3
se,50314,2
também,50229,6
sobre,49241,5
disse,48439,5
nos,47926,3
um,44366,2
ontem,44199,5
anos,42809,4
?,42538,1
governo,40307,7
segundo,40271,7
quando,39832,6
tá,38429,3
dia,36931,3
às,36331,2
,36218,3
ainda,35364,5
dois,35110,4
pode,35070,4
só,35048,2
vai,34996,3
hoje,34495,4
ano,34381,3
nas,34346,3
sem,32886,3
presidente,32852,10
aos,32477,3
diz,32455,3
até,32344,3
contra,31299,6
seus,30806,4
foram,30066,5
era,29518,3
ter,29234,3
isso,27985,4
mil,26480,3
tr黌,26407,3
há,26398,2
eu,26261,2
depois,25903,6
será,25830,4
uma,25748,3
país,25286,4
muito,24991,5
r$,24444,2
apenas,23816,6
ela,23460,3
,22965,1
onde,22866,4
deve,22734,4
todos,22069,5
maior,21986,5
tempo,21684,5
quem,21657,4
pessoas,21421,7
1,21365,1
/,21161,1
dias,20771,4
suas,20579,4
fazer,20504,5
!,20383,1
porque,20228,6
milhões,20221,7
outros,19757,6
parte,19724,5
duas,19518,4
eles,19364,4
mais,18781,4
primeiro,18710,8
tão,18611,4
mesmo,18318,5
vez,18172,3
o,17971,1
cada,17934,4
mercado,17789,7
agora,17747,5
grande,17621,6
outro,17620,5
bem,17331,3
desde,17324,5
durante,17177,7
até,17096,3
mês,16797,3
caso,16701,4
assim,16571,5
antes,16539,5
além,16534,4
2,16271,1
me,16218,2
cidade,16093,6
primeira,15918,8
empresa,15904,7
quatro,15903,6
preços,15733,6
candidato,15416,9
novo,15410,4
afirmou,15332,7
pelos,15302,5
mesmo,15263,5
mundo,15208,5
tudo,15166,4
semana,14927,6
sempre,14909,6
empresas,14875,8
você,14789,4
trabalho,14694,8
qualquer,14631,8
cerca,14552,5
estado,14490,6
que,14300,3
partir,14273,6
têm,14237,3
seja,14234,4
equipe,14170,6
casa,14158,4
jogo,14128,4
grupo,14111,5
vida,14097,4
faz,13953,3
está,13716,4
exemplo,13716,7
nova,13694,4
ministro,13674,8
acordo,13662,6
forma,13503,5
todo,12987,4
time,12868,4
menos,12845,5
campanha,12796,8
sendo,12791,5
programa,12764,8
processo,12661,8
há,12627,2
após,12568,4
segundo,12372,7
alguns,12297,6
outra,12247,5
número,12082,6
cinco,12035,5
meses,12028,5
final,12000,5
seria,11995,5
lei,11936,3
tinha,11935,5
podem,11910,5
fez,11804,3
relação,11780,7
melhor,11732,6
3,11716,1
sido,11645,4
lado,11610,4
inflação,11572,8
quer,11307,4
num,11298,3
qual,11150,4
outras,11109,6
história,11069,8
teve,11029,4
seleção,10948,7
nome,10938,4
havia,10882,5
projeto,10733,7
sistema,10723,7
cr$,10676,3
é,10635,1
dinheiro,10573,8
quase,10390,5
afirma,10340,6
diretor,10327,7
lugar,10321,5
vezes,10283,5
plano,10273,5
nada,10257,4
pontos,10202,6
todas,10181,5
técnico,10093,7
área,10020,4
serão,9925,5
tão,9917,3
tava,9910,5
urv,9843,3
fato,9841,4
valor,9802,5
produção,9792,8
numa,9707,4
prazo,9643,5
fim,9524,3
te,9495,3
enquanto,9458,8
preço,9451,5
brasileira,9389,10
noite,9386,5
região,9340,6
início,9306,6
essa,9257,4
último,9236,6
passado,9218,7
então,9198,5
dar,9191,3
vão,9183,3
mesma,9158,5
deste,9156,5
zona,9053,4
problema,9036,8
filme,9010,5
ficou,8980,5
aumento,8967,7
minha,8913,5
partido,8909,7
livro,8877,5
real,8874,4
tel.,8848,4
polícia,8794,7
decisão,8777,7
meu,8776,3
países,8772,6
ver,8770,3
produtos,8752,8
ação,8745,4
4,8655,1
problemas,8608,9
nem,8601,3
jogadores,8583,9
setor,8547,5
se,8528,3
este,8499,4
momento,8495,7
vem,8455,3
pelas,8441,5
5,8426,1
aqui,8423,4
dentro,8388,6
ponto,8380,5
período,8372,7
maioria,8363,7
possível,8356,8
fica,8355,4
mulher,8347,6
pesquisa,8338,8
através,8321,7
tipo,8293,4
esse,8281,4
coisa,8262,5
apesar,8203,6
bom,8198,3
toda,8147,4
recursos,8118,8
futebol,8116,7
devem,8099,5
sob,8053,3
deputado,8037,8
homem,8036,5
sa,8036,3
dez,8016,3
julho,8008,5
seis,7931,4
última,7925,6
nunca,7884,5
art.,7871,4
teria,7866,5
grandes,7829,7
lá,7821,2
nós,7795,3
carro,7778,5
feito,7778,5
quanto,7763,6
pouco,7758,5
dá,7752,2
economia,7751,8
dizer,7656,5
congresso,7635,9
terá,7587,4
falta,7563,5
poder,7513,5
chegou,7460,6
esta,7430,4
bilhões,7386,7
idéia,7383,5
últimos,7379,7
nos,7373,3
média,7362,5
lhe,7291,3
hora,7285,4
feita,7284,5
muito,7269,5
política,7262,8
morte,7244,5
resultado,7224,9
juros,7204,5
brasileiro,7189,10
principal,7095,9
algumas,7081,7
apoio,7002,5
porém,6991,5
horas,6911,5
nacional,6871,8
anteontem,6859,9
causa,6820,5
venda,6813,5
jogador,6808,7
situação,6792,8
família,6768,7
justiça,6747,7
nem,6746,3
queda,6746,5
pecial,6740,7
juiz,6712,4
começou,6709,7
crianças,6709,8
amanhã,6706,6
deu,6706,3
boa,6699,3
ficar,6689,5
novos,6689,5
rua,6677,3
segunda,6672,7
a,6643,1
muitos,6641,6
domingo,6628,7
junho,6621,5
fase,6616,4
importante,6603,10
direção,6602,7
frente,6595,6
houve,6553,5
volta,6528,5
1º,6498,2
partida,6474,7
medida,6470,6
sentido,6455,7
fora,6450,4
menos,6447,5
questão,6433,7
eram,6419,4
gente,6417,5
base,6408,4
informações,6398,11
disso,6394,5
obra,6392,4
mundial,6377,7
janeiro,6343,7
governador,6326,10
verdade,6321,7
defesa,6308,6
isto,6298,4
logo,6281,4
elas,6276,4
casos,6262,5
internacionais,6262,14
uso,6239,3
conta,6237,5
for,6207,3
centro,6190,6
campo,6175,5
maio,6167,4
parece,6162,6
maiores,6150,7
atual,6144,5
passou,6144,6
condições,6142,9
poderia,6104,7
anterior,6101,8
poderá,6100,6
capital,6077,7
água,6076,4
homens,6068,6
principais,6065,10
6,6051,1
agosto,6041,6
eleitoral,6036,9
funcionários,6014,12
único,6014,5
março,5985,5
saúde,5981,5
vários,5976,6
ta,5971,3
movimento,5968,9
km,5961,2
nenhum,5940,6
bancos,5929,6
segurança,5919,9
texto,5915,5
vitória,5890,7
candidatos,5852,10
público,5846,7
sabe,5840,4
vendas,5834,6
época,5830,5
v,5824,1
estão,5795,5
alta,5770,4
sul,5768,3
econômica,5765,9
obras,5765,5
abril,5757,5
papel,5754,5
dezembro,5749,8
ninguém,5746,7
0,5727,1
música,5720,6
direito,5719,7
tv,5687,2
salários,5677,8
local,5672,5
título,5663,6
outubro,5646,7
qualidade,5645,9
próximo,5633,7
dólar,5624,5
tenha,5556,5
fosse,5552,5
começa,5548,6
saber,5541,5
população,5539,9
ações,5525,5
sociedade,5517,9
coisas,5508,6
norte-americano,5488,15
reunião,5480,7
setembro,5467,8
gol,5455,3
pessoa,5451,6
taxa,5444,4
embora,5443,6
jornal,5437,6
desse,5432,5
senador,5426,7
linha,5420,5
carros,5416,6
guerra,5393,6
preciso,5388,7
nossa,5384,5
eleição,5382,7
agências,5379,8
pois,5363,4
moeda,5352,5
chegar,5348,6
junto,5347,5
mostra,5332,6
eleições,5329,8
n'te,5324,4
quais,5322,5
nosso,5315,5
jogos,5314,5
autor,5307,5
banco,5301,5
dados,5283,5
muitas,5280,6
sábado,5270,6
social,5269,6
menor,5265,5
serviços,5263,8
modelo,5260,6
crescimento,5256,11
deles,5253,5
oito,5253,4
mulheres,5247,8
estava,5243,6
série,5241,5
proposta,5235,8
existe,5229,6
difícil,5220,7
deverá,5212,6
indústria,5211,9
imagem,5207,6
8,5200,1
sete,5173,4
controle,5171,8
serviço,5150,7
programas,5146,9
século,5144,6
rede,5127,4
pai,5125,3
líder,5116,5
talvez,5111,6
minutos,5104,7
tenho,5089,5
cultura,5073,7
pagamento,5058,9
maneira,5052,7
participação,5044,12
próxima,5044,7
alguma,5042,6
meio,5041,4
os,5037,2
imprensa,5024,8
tar,5023,4
7,5016,1
tal,4990,3
evitar,4980,6
câmara,4975,6
crime,4972,5
objetivo,4965,8
corpo,4958,5
várias,4952,6
índice,4941,6
federal,4899,7
passa,4887,5
sucesso,4871,7
política,4868,8
manhã,4852,5
secretário,4851,10
novas,4849,5
diante,4838,6
p.,4828,2
especial,4809,8
entrada,4792,7
pretende,4780,8
salário,4745,7
tarde,4727,5
conseguiu,4723,9
filho,4715,5
própria,4714,7
cinema,4712,6
acho,4709,4
artigo,4700,6
prefeitura,4671,10
certo,4668,5
possibilidade,4666,13
algum,4665,5
real,4661,4
criação,4645,7
produto,4635,7
temos,4632,5
força,4631,5
nível,4631,5
aí,4625,2
chega,4621,5
falar,4611,5
arte,4608,4
renda,4606,5
tanto,4598,5
forte,4565,5
precisa,4559,7
modo,4558,4
fazem,4556,5
posição,4552,7
votos,4547,5
fevereiro,4546,9
dele,4542,4
simples,4516,7
terra,4514,5
entrar,4509,6
principalmente,4482,14
pública,4464,7
deixar,4461,6
internacional,4455,13
prova,4453,5
vamos,4446,5
palmeiras,4441,9
*,4435,1
recebeu,4432,7
operação,4431,8
turno,4415,5
candidatura,4403,11
acima,4399,5
novembro,4381,8
redução,4380,7
nenhuma,4367,7
desenvolvimento,4361,15
primeiros,4355,9
ordem,4354,5
ir,4350,2
manter,4344,6
única,4334,5
entrevista,4321,10
policiais,4308,9
crise,4306,5
empresários,4282,11
prefeito,4277,8
tentar,4273,6
cabeça,4268,6
sexta-feira,4268,11
grupos,4253,6
risco,4241,5
bola,4237,4
muita,4234,5
prisão,4234,6
lojas,4231,5
ataque,4230,6
resultados,4207,10
consumo,4204,7
vou,4188,3
público,4187,7
próprio,4185,7
min,4183,3
entanto,4182,7
acha,4178,4
valores,4173,7
eleito,4170,6
conta,4165,5
responsável,4159,11
custo,4154,5
pagar,4152,5
paulista,4150,8
ar,4147,2
presença,4146,8
presidência,4134,11
advogado,4123,8
versão,4119,6
deixou,4117,6
somente,4115,7
econômico,4112,9
próprio,4111,7
continua,4104,8
jogar,4104,5
passada,4092,7
acontece,4085,8
orçamento,4085,9
efeito,4079,6
longo,4077,5
filmes,4075,6
passar,4072,6
telefone,4062,8
ônibus,4049,6
mão,4045,3
sou,4037,3
mãe,4033,3
receber,4032,7
senado,4031,6
comércio,4029,8
atacante,4024,8
fazendo,4017,7
pedido,4011,6
medidas,4003,7
9,3987,1
data,3979,4
assunto,3971,7
contrário,3968,9
encontro,3957,8
experiência,3945,11
imagens,3944,7
lista,3939,5
construção,3931,10
sim,3921,3
crédito,3915,7
estados,3913,7
arts,3912,4
administração,3907,13
atrás,3901,5
n'se,3889,4
pouco,3879,5
n'ta,3858,4
diferença,3856,9
final,3850,5
função,3842,6
político,3842,8
como,3841,4
festa,3841,5
x,3834,1
contrato,3825,8
cargo,3819,5
portanto,3816,8
razão,3813,5
partidos,3810,8
seguinte,3807,8
enviado,3786,7
acabou,3783,6
sair,3781,4
mínimo,3773,6
tavam,3772,6
levar,3766,5
torno,3766,5
capacidade,3764,10
comum,3761,5
fazenda,3759,7
gols,3755,4
devido,3749,6
quadro,3745,6
revisão,3743,7
revista,3740,7
interesse,3734,9
paço,3727,5
professor,3723,9
áreas,3714,5
cidades,3706,7
abertura,3704,8
opinião,3704,7
traz,3704,4
total,3685,5
fundo,3681,5
reforma,3670,7
melhores,3647,8
deveria,3645,7
realidade,3638,9
clube,3631,5
mudança,3624,7
si,3622,2
compra,3608,6
filhos,3600,6
violência,3593,9
total,3592,5
voto,3592,4
nomes,3584,5
volume,3580,6
deputados,3577,9
regras,3577,6
folha,3575,5
disco,3569,5
pesquisas,3564,9
feitas,3554,6
informação,3546,10
conversão,3537,9
necessidade,3535,11
contas,3534,6
resposta,3534,8
usar,3532,4
interior,3525,8
curso,3520,5
encontrar,3508,9
acredita,3483,8
saída,3483,5
criar,3481,5
desses,3480,6
sei,3473,3
teatro,3472,6
prevê,3471,5
respeito,3465,8
tiveram,3464,7
comissão,3450,8
greve,3447,5
central,3445,7
povo,3431,4
militar,3425,7
comercial,3419,9
dívida,3408,6
brasileiros,3407,11
receita,3407,7
que,3406,3
caminho,3397,7
2º,3395,2
ruas,3385,4
ganhar,3383,6
aconteceu,3376,9
demais,3373,6
mudanças,3371,8
exterior,3365,8
reais,3365,5
sejam,3363,5
cola,3358,5
julgamento,3357,10
viagem,3357,6
show,3356,4
livre,3350,5
voltar,3348,6
taxas,3347,5
`,3346,1
exército,3346,8
edição,3344,6
olhos,3340,5
trabalhar,3336,9
livros,3332,6
segunda-feira,3332,13
natureza,3331,8
perdeu,3318,6
voltou,3317,6
brasileiro,3311,10
empresário,3306,10
chefe,3305,5
mim,3301,3
necessário,3301,10
milhão,3293,6
poucos,3291,6
títulos,3280,7
aquele,3277,6
educação,3273,8
evento,3272,6
tema,3267,4
termos,3261,6
pena,3258,4
palavras,3254,8
pediu,3244,5
levou,3243,5
melhor,3243,6
comprar,3237,7
conjunto,3234,8
amigos,3232,6
carreira,3232,8
oeste,3232,5
marca,3222,5
atenção,3221,7
local,3217,5
relações,3207,8
trabalhadores,3204,13
decidiu,3197,7
permite,3194,7
ses,3194,4
aumentar,3189,8
acidente,3187,8
querem,3187,6
negócios,3179,8
constituição,3176,12
financeiro,3172,10
formação,3165,8
acesso,3164,6
brasileiros,3150,11
conhecimento,3150,12
lançamento,3144,10
entidade,3139,8
peça,3139,4
média,3137,5
futuro,3135,6
prática,3134,7
geral,3129,5
luz,3125,3
mal,3123,3
ficaram,3122,7
visão,3120,5
morreu,3114,6
deixa,3105,5
energia,3104,7
diferente,3102,9
próximos,3102,8
alguém,3101,6
inclusive,3101,9
claro,3099,5
abaixo,3094,6
motivo,3093,6
públicos,3090,8
terceiro,3089,8
existem,3084,7
semanas,3079,7
queria,3078,6
discurso,3075,8
setores,3070,7
significa,3070,9
sociais,3067,7
oficial,3057,7
direitos,3055,8
ganhou,3055,6
avenida,3054,7
origem,3045,6
metros,3043,6
participar,3041,10
fácil,3036,5
hospital,3035,8
caso,3028,4
idade,3027,5
perto,3027,5
temporada,3024,9
mãos,3020,4
dúvida,3018,6
consumidor,3013,10
organização,3013,11
esses,3012,5
troca,3012,5
atividades,3004,10
documento,3002,9
avaliação,3001,9
d'sa,3000,4
entrou,2999,6
saiu,2997,4
caiu,2995,4
computador,2989,10
agência,2984,7
tinham,2984,6
favor,2976,5
contratos,2970,9
geral,2970,5
alto,2960,4
turma,2957,5
serem,2956,5
bens,2954,4
amor,2934,4
sai,2932,3
terão,2927,5
investimentos,2922,13
colas,2921,6
r,2918,1
médico,2911,6
desempenho,2910,10
números,2910,7
superior,2909,8
haverá,2907,6
tendência,2907,9
médio,2902,5
operações,2899,9
república,2898,9
carta,2896,5
década,2896,6
atividade,2887,9
nove,2887,4
acaba,2884,5
quarta-feira,2883,12
entretanto,2880,10
casas,2879,5
tanto,2877,5
pais,2874,4
membros,2873,7
trabalhos,2873,9
§,2872,1
piloto,2869,6
análise,2866,7
loja,2859,4
i,2858,1
fora,2852,4
exposição,2851,9
desta,2844,5
perder,2843,6
tempos,2840,6
grau,2837,4
ouro,2837,4
banda,2836,5
televisão,2836,9
sala,2835,4
essas,2833,5
amigo,2831,5
baixa,2830,5
veículos,2825,8
fizeram,2814,7
quanto,2813,6
neste,2810,5
pois,2810,4
leva,2807,4
b,2806,1
disputa,2806,7
ambos,2804,5
mostrar,2800,7
paz,2800,3
dizem,2798,5
horário,2798,7
relatório,2794,9
solução,2793,7
partes,2792,6
votação,2792,7
fala,2787,4
metade,2780,6
quero,2780,5
modelos,2779,7
notas,2775,5
foto,2771,4
algo,2770,4
meia,2768,4
projetos,2766,8
ciência,2763,7
informou,2762,8
café,2759,4
norte,2753,5
questões,2753,8
custa,2749,5
vontade,2749,7
ali,2743,3
doença,2735,6
continuar,2732,9
palavra,2729,7
liberdade,2727,9
efeitos,2721,7
filha,2720,5
longe,2720,5
material,2719,8
processos,2717,9
delas,2714,5
ato,2707,3
mudar,2705,5
opção,2701,5
treinador,2698,9
fechou,2695,6
importantes,2693,11
vê,2689,2
veio,2687,4
armas,2686,5
conseguir,2686,9
tomar,2686,5
idéias,2683,6
alimentos,2682,9
realizada,2679,9
alunos,2671,6
moda,2667,4
apresenta,2663,9
tendo,2663,5
linguagem,2657,9
sede,2657,4
equipamentos,2656,12
sas,2656,4
drogas,2654,6
ocorreu,2654,7
peças,2652,5
sr.,2651,3
meio,2649,4
tratamento,2645,10
atualmente,2642,10
câmbio,2641,6
importância,2639,11
aliás,2636,5
recebe,2633,6
debate,2630,6
imposto,2629,7
formas,2627,6
senhor,2621,6
civil,2616,5
hotel,2609,5
busca,2604,5
dificuldades,2603,12
impostos,2601,8
som,2598,3
ocorre,2590,6
medo,2588,4
parlamentares,2586,13
volta,2585,5
voz,2584,3
pressão,2581,7
pedir,2580,5
planos,2579,6
dela,2578,4
poderão,2577,7
bastante,2576,8
comunicação,2574,11
velocidade,2572,10
emprego,2571,7
jornais,2571,7
reajuste,2569,8
americano,2567,9
custos,2563,6
praticamente,2563,12
jovens,2562,6
regime,2562,6
explica,2557,7
fazenda,2557,7
trata,2554,5
fundos,2551,6
colocar,2548,7
apresentar,2545,10
cima,2542,4
prédio,2541,6
expectativa,2537,11
atuação,2536,7
passagem,2535,8
pé,2535,2
sentença,2535,8
nota,2531,4
recurso,2531,7
possa,2527,5
meus,2526,4
tentativa,2525,9
delegado,2524,8
d'ta,2522,4
capaz,2521,5
podemos,2519,7
pequena,2516,7
afinal,2515,6
bairro,2514,6
ganha,2514,5
não,2514,3
órgão,2514,5
eleitores,2508,9
aquela,2506,6
anunciou,2502,8
unidades,2498,8
reportagem,2492,10
classe,2491,6
certa,2484,5
máximo,2483,6
ex-presidente,2482,13
seriam,2480,6
máquina,2477,7
marido,2473,6
pécie,2473,6
existência,2470,10
personagem,2470,10
quinta-feira,2467,12
reúne,2466,5
documentos,2464,10
conhecido,2463,9
vencer,2463,6
tecnologia,2459,10
investimento,2458,12
negociações,2455,11
ii,2453,2
personagens,2450,11
oposição,2449,8
vice-presidente,2449,15
teoria,2446,6
começar,2445,7
clientes,2441,8
considera,2438,9
quis,2438,4
inclui,2436,6
moradores,2436,9
criança,2434,7
líderes,2432,7
vantagem,2432,8
rádio,2427,5
primeiro,2425,8
terça-feira,2425,11
c,2422,1
enfrentar,2421,9
distribuição,2419,12
inglês,2417,6
pessoal,2417,7
faixa,2412,5
provas,2412,6
cuja,2405,4
nossos,2405,6
discussão,2404,9
vista,2404,5
união,2399,5
combate,2398,7
princípio,2396,9
ia,2394,2
peso,2394,4
parreira,2391,8
vista,2391,5
haver,2385,5
m,2384,1
campeonato,2381,10
velho,2381,5
literatura,2380,10
leitor,2379,6
variação,2379,8
negócio,2378,7
comando,2376,7
entra,2373,5
instituições,2369,12
futuro,2368,6
hipótese,2367,8
popular,2367,7
terceira,2363,8
abrir,2362,5
realizado,2362,9
fiscal,2361,6
rio,2359,3
comportamento,2358,13
ministros,2356,9
declaração,2355,10
acusado,2351,7
públicas,2348,8
aliança,2346,7
representa,2335,10
artista,2333,7
cena,2328,4
linhas,2328,6
seguir,2327,6
ajuda,2319,5
campeão,2319,7
mar,2319,3
vice,2319,4
teriam,2318,6
preocupação,2315,11
aqueles,2312,7
romance,2309,7
as,2306,2
igual,2306,5
trata-se,2303,8
tenta,2301,5
bolsas,2299,6
jovem,2299,5
quantidade,2296,10
contato,2295,7
tadual,2295,7
fui,2292,3
dono,2291,4
praia,2291,5
políticos,2289,9
adversário,2284,10
diferentes,2284,10
tais,2284,4
estou,2282,5
posse,2282,5
ficam,2280,5
fundamental,2280,11
natural,2280,7
execução,2274,8
tipos,2274,5
trânsito,2266,8
artistas,2265,8
obter,2265,5
representantes,2265,14
podia,2259,5
reservas,2258,8
pista,2257,5
ator,2256,4
realmente,2256,9
aplicação,2252,9
objeto,2250,6
viu,2247,3
responsabilidade,2245,16
intenção,2244,8
forças,2243,6
cruzeiros,2239,9
passado,2238,7
seção,2237,5
2ª,2236,2
índices,2236,7
categoria,2234,9
1ª,2232,2
n'sa,2229,4
constitucional,2227,14
garantir,2222,8
luta,2222,4
atriz,2221,5
estamos,2221,7
atendimento,2220,11
reduzir,2218,7
clima,2213,5
assessor,2211,8
casal,2210,5
tilo,2210,5
corrupção,2205,9
exatamente,2205,10
trabalha,2205,8
sangue,2201,6
tivesse,2200,7
gerente,2199,7
soldados,2199,8
tádio,2197,6
porta,2195,5
nota,2194,4
regiões,2194,7
venceu,2194,6
daí,2189,3
nº,2189,2
dado,2187,4
iniciativa,2182,10
discutir,2181,8
animais,2180,7
j,2179,1
cujo,2174,4
poupança,2173,8
altura,2171,6
erro,2171,4
prêmio,2171,6
elementos,2168,9
fotos,2168,5
tradição,2168,8
goleiro,2163,7
técnicos,2162,8
seguida,2160,7
geração,2159,7
preso,2159,5
representação,2159,13
equipes,2158,7
aprovação,2155,9
ministério,2151,10
universidade,2149,12
derrota,2144,7
entidades,2144,9
perda,2142,5
supermercados,2139,13
denúncia,2138,8
páginas,2135,7
cara,2134,4
humanos,2130,7
inquérito,2127,9
acabar,2126,6
chance,2124,6
dessa,2123,5
aparece,2121,7
vender,2120,6
pequeno,2119,7
contar,2118,6
toneladas,2118,9
menores,2117,7
considerado,2115,11
pior,2114,4
diferentes,2111,10
usado,2111,5
gastos,2109,6
a,2106,1
caráter,2104,7
depende,2102,7
exportações,2102,11
norte,2102,5
oferece,2102,7
legislação,2099,10
condição,2094,8
espaço,2094,6
expressão,2092,9
presos,2087,6
massa,2086,5
técnica,2085,7
reformas,2083,8
ainda,2082,5
normal,2082,6
competição,2081,10
jornalistas,2081,11
pequenas,2079,8
vídeo,2079,5
visto,2079,5
pensar,2078,6
bolsa,2075,5
presidencial,2075,12
textos,2074,6
apresentação,2071,12
despesas,2070,8
famílias,2070,8
flamengo,2070,8
ritmo,2070,5
vive,2063,4
realizar,2062,8
mostrou,2061,7
propostas,2061,9
tarde,2056,5
correção,2047,8
previsão,2047,8
critor,2045,7
críticas,2044,8
cem,2043,3
chances,2040,7
fábrica,2040,7
nacionais,2038,9
cliente,2037,7
francês,2037,7
lembra,2037,6
memória,2032,7
língua,2031,6
totalmente,2031,10
passaram,2029,8
coração,2027,7
chegaram,2026,8
jornalista,2026,10
tréia,2025,6
assessoria,2023,10
tabilização,2023,12
vítimas,2021,7
veja,2020,4
exame,2016,5
momentos,2016,8
feitos,2014,6
visita,2014,6
negociação,2013,10
matéria,2012,7
col.,2010,4
diretamente,2010,11
privatização,2009,12
disposição,2008,10
haviam,2005,6
sobretudo,2005,9
sol,2005,3
inicial,2004,7
lucro,2004,5
direita,2002,7
etc,2001,3
legal,2001,5
médicos,2001,7
militares,2001,9
tudo,2001,5
fazia,2000,5
interesses,1998,10
dando,1994,5
dizia,1994,5
abre,1993,4
brasileiras,1991,11
votar,1991,5
primeiras,1990,9
companhia,1988,9
igreja,1987,6
profissionais,1987,13
leste,1985,5
irmão,1981,5
cartão,1978,6
criou,1978,5
eleitorais,1978,10
máquinas,1977,8
de,1976,2
possui,1975,6
rel,1975,3
avião,1972,5
vale,1970,4
coordenador,1969,11
consegue,1968,8
pensamento,1966,10
parágrafo,1964,9
influência,1963,10
coluna,1961,6
temas,1961,5
basta,1958,5
carne,1958,5
fogo,1958,4
municípios,1958,10
aumentos,1957,8
cabo,1957,4
certeza,1955,7
perdas,1955,6
u,1951,1
cenário,1950,7
impossível,1948,10
parque,1947,6
torcida,1946,7
concorrência,1943,12
professores,1942,11
tenham,1941,6
deram,1939,5
sinal,1939,5
cultural,1937,8
mesa,1936,4
passo,1936,5
corte,1935,5
posso,1935,5
declarações,1934,11
industrial,1930,10
nesse,1921,5
começo,1920,6
declarou,1920,8
fatos,1919,5
tráfico,1917,7
corrida,1915,7
falou,1915,5
anteriores,1912,10
pera,1910,5
quilômetros,1910,11
explicar,1907,8
praça,1907,5
conhecer,1905,8
investigação,1902,12
ajudar,1901,6
tom,1901,3
novamente,1899,9
bons,1898,4
caixa,1897,5
vaga,1895,4
torneio,1893,7
divisão,1892,7
fonte,1887,5
responsáveis,1887,12
cartas,1886,6
tou,1886,4
acusação,1885,8
zagueiro,1885,8
importações,1884,11
pede,1884,4
sabia,1884,5
tado,1883,5
objetos,1882,7
unidade,1878,7
uns,1877,3
chegada,1876,7
realização,1876,10
recente,1876,7
mesmos,1874,6
ausência,1873,8
monetária,1873,9
dólares,1869,7
manutenção,1869,10
defende,1868,7
depois,1868,6
mantém,1867,6
compras,1864,7
planejamento,1864,12
aplicações,1863,10
madrugada,1862,9
demanda,1859,7
etapa,1858,5
direito,1857,7
aberto,1854,6
financiamento,1854,13
exige,1853,5
limite,1853,6
novela,1853,6
oferta,1853,6
andar,1851,5
general,1849,7
políticas,1849,9
times,1849,5
gestão,1847,6
salarial,1844,8
políticos,1843,9
provisória,1843,10
curto,1842,5
previsto,1842,8
estes,1839,5
pessoal,1839,7
deverão,1838,7
eventual,1838,8
transporte,1838,10
lança,1837,5
razões,1837,6
pra,1836,3
reação,1836,6
sistemas,1835,8
filosofia,1832,9
acontecer,1831,9
dizendo,1830,7
funciona,1829,8
próximo,1829,7
roupas,1829,6
mandato,1826,7
usa,1826,3
revela,1823,6
quema,1820,6
vêm,1819,3
ambiente,1818,8
intervenção,1817,11
paga,1817,4
demais,1814,6
tradicional,1814,11
restaurante,1813,11
campos,1812,6
sindicato,1812,9
leis,1811,4
ouvir,1811,5
tela,1811,4
importação,1809,10
cair,1808,4
estudo,1808,6
nordeste,1805,8
comunidade,1804,10
simplesmente,1804,12
tornar,1804,6
adversários,1802,11
começaram,1802,9
apresentou,1799,10
resto,1798,5
motivos,1797,7
suspensão,1797,9
carga,1796,5
réu,1796,3
entender,1794,8
original,1792,8
últimas,1791,7
estar,1790,5
festival,1790,8
produzir,1789,8
democracia,1787,10
disseram,1786,8
tirar,1785,5
básica,1784,6
prejuízo,1783,8
competência,1782,11
tentou,1782,6
conversa,1781,8
tribunal,1781,8
fórmula,1780,7
tiros,1779,5
sexo,1778,4
federais,1777,8
crimes,1773,6
prevista,1773,8
marketing,1772,9
redação,1772,7
lançado,1771,7
denúncias,1770,9
marcou,1768,6
propaganda,1768,10
taduais,1767,8
foi,1764,3
detalhes,1763,8
meio-campo,1763,10
bilhão,1758,6
grave,1754,5
alemão,1753,6
jamais,1751,6
casamento,1750,9
destaque,1748,8
recebido,1745,8
sexual,1745,6
elenco,1743,6
free-lance,1743,10
trutura,1743,8
meios,1742,5
militares,1742,9
sessão,1742,6
cesta,1741,5
empréstimos,1736,11
tratégia,1736,9
lugares,1735,7
atender,1733,7
audiência,1733,9
definição,1731,9
regra,1731,5
associação,1730,10
tese,1730,4
perde,1729,5
consciência,1727,11
presente,1727,8
compra,1726,6
dão,1726,3
características,1725,15
fará,1725,4
dúvidas,1724,7
ex-governador,1724,13
dirigentes,1723,10
norte-americano,1722,15
quarto,1715,6
autoridades,1714,11
cores,1714,5
